tanggal,kode_prov,nama_prov,kode_kab,nama_kab,odp,odp_proses,odp_selesai,pdp,pdp_proses,pdp_selesai,positif,sembuh,meninggal,
2020-03-07,32,Jawa Barat,3218,Kabupaten Pangandaran,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-03-07,32,Jawa Barat,3214,Kabupaten Purwakarta,2,0,2,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,
2020-03-07,32,Jawa Barat,3213,Kabupaten Subang,2,6,8,1,0,1,0,0,0,7,6,1,0,0,0,0,0,0,
2020-03-07,32,Jawa Barat,3202,Kabupaten Sukabumi,20,3,23,2,0,2,0,0,0,19,3,16,2,0,2,0,0,0,
2020-03-07,32,Jawa Barat,3211,Kabupaten Sumedang,24,20,44,0,0,0,0,0,0,25,1,24,0,0,0,0,0,0,
2020-03-07,32,Jawa Barat,3206,Kabupaten Tasikmalaya,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-03-07,32,Jawa Barat,3273,Kota Bandung,4,29,33,2,5,7,1,0,0,0,0,0,0,0,0,0,0,0,
2020-03-07,32,Jawa Barat,3279,Kota Banjar,6,51,57,0,0,0,0,0,0,52,49,3,0,0,0,0,0,0,
2020-03-07,32,Jawa Barat,3275,Kota Bekasi,3,17,20,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,
2020-03-07,32,Jawa Barat,3271,Kota Bogor,4,6,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
2020-03-07,32,Jawa Barat,3277,Kota Cimahi,25,2,27,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,
2020-03-07,32,Jawa Barat,3274,Kota Cirebon,2,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,
2020-03-07,32,Jawa Barat,3276,Kota Depok,76,2,78,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,
2020-03-07,32,Jawa Barat,3272,Kota Sukabumi,1,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,
2020-03-07,32,Jawa Barat,3278,Kota Tasikmalaya,7,2,9,0,0,0,0,0,0,9,2,7,0,0,0,0,0,0,
2020-03-08,32,Jawa Barat,3204,Kabupaten Bandung,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
2020-03-08,32,Jawa Barat,3217,Kabupaten Bandung Barat,13,2,15,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
2020-03-08,32,Jawa Barat,3216,Kabupaten Bekasi,11,1,12,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,
2020-03-08,32,Jawa Barat,3201,Kabupaten Bogor,3,11,14,4,11,15,0,0,0,0,0,0,0,0,0,0,0,0,
2020-03-08,32,Jawa Barat,3207,Kabupaten Ciamis,1,43,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-03-08,32,Jawa Barat,3203,Kabupaten Cianjur,3,33,36,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,
2020-03-08,32,Jawa Barat,3209,Kabupaten Cirebon,5,5,10,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,
2020-03-08,32,Jawa Barat,3205,Kabupaten Garut,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
2020-03-08,32,Jawa Barat,3212,Kabupaten Indramayu,2,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
2020-03-08,32,Jawa Barat,3215,Kabupaten Karawang,22,7,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-03-08,32,Jawa Barat,3208,Kabupaten Kuningan,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-03-08,32,Jawa Barat,3210,Kabupaten Majalengka,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
2020-03-08,32,Jawa Barat,3218,Kabupaten Pangandaran,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-03-08,32,Jawa Barat,3214,Kabupaten Purwakarta,2,0,2,2,0,2,1,0,0,0,0,0,0,0,0,1,0,0,
2020-03-08,32,Jawa Barat,3213,Kabupaten Subang,2,6,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
2020-03-08,32,Jawa Barat,3202,Kabupaten Sukabumi,20,3,23,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
2020-03-08,32,Jawa Barat,3211,Kabupaten Sumedang,24,20,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-03-08,32,Jawa Barat,3206,Kabupaten Tasikmalaya,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-03-08,32,Jawa Barat,3273,Kota Bandung,4,29,33,2,5,7,1,0,0,0,0,0,0,0,0,0,0,0,
2020-03-08,32,Jawa Barat,3279,Kota Banjar,6,51,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-03-08,32,Jawa Barat,3275,Kota Bekasi,3,17,20,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,
2020-03-08,32,Jawa Barat,3271,Kota Bogor,4,6,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
2020-03-08,32,Jawa Barat,3277,Kota Cimahi,25,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-03-08,32,Jawa Barat,3274,Kota Cirebon,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-03-08,32,Jawa Barat,3276,Kota Depok,76,2,78,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,
2020-03-08,32,Jawa Barat,3272,Kota Sukabumi,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-03-08,32,Jawa Barat,3278,Kota Tasikmalaya,7,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-03-09,32,Jawa Barat,3204,Kabupaten Bandung,25,3,28,1,0,1,0,0,0,27,2,25,0,-1,1,0,0,0,
2020-03-09,32,Jawa Barat,3217,Kabupaten Bandung Barat,28,2,30,0,1,1,0,0,0,15,0,15,0,0,0,0,0,0,
2020-03-09,32,Jawa Barat,3216,Kabupaten Bekasi,12,1,13,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,
2020-03-09,32,Jawa Barat,3201,Kabupaten Bogor,3,11,14,4,11,15,0,0,0,0,0,0,0,0,0,0,0,0,
2020-03-09,32,Jawa Barat,3207,Kabupaten Ciamis,1,43,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-03-09,32,Jawa Barat,3203,Kabupaten Cianjur,40,0,40,2,0,2,0,0,0,4,-33,37,0,-1,1,0,0,0,
