riset,gender,usia.pasti,kat.pekerjaan,status,peng.kel,jum.kel,peng.prib,bahan.masak,air.minum,kepemilikan,edukasi,ses.final,skor.peng.prib,skor.bahan.masak,skor.air.minum,total.skor,skor.ses.nielsen,skor.ses,,,total.skor,
ar sweetener 2018,Pria,34,Housewife,Menikah & sudah punya anak,10000000,4,2500000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,SMA,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar sweetener 2018,Pria,47,Employee/wage earner,Menikah & sudah punya anak,17500000,4,4375000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Super upper,9,4,4,17,High,Super Upper [nielsen],,,,
ar sweetener 2018,Wanita,51,Housewife,Menikah & sudah punya anak,8000000,5,1600000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,SMA,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar sweetener 2018,Wanita,34,Employee/wage earner,Belum / tidak menikah,5000000,3,1666666.667,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar sweetener 2018,Wanita,31,Employee/wage earner,Menikah & sudah punya anak,7000000,4,1750000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar sweetener 2018,Wanita,38,Employee/wage earner,Menikah & belum punya anak,15000000,2,7500000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Super upper,9,4,4,17,High,Super Upper [nielsen],,,,
ar sweetener 2018,Pria,64,Not employed,Menikah & sudah punya anak,15000000,3,5000000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,SMA,Super upper,9,4,4,17,High,Super Upper [nielsen],,,,
ar sweetener 2018,Pria,53,Employee/wage earner,Menikah & sudah punya anak,10000000,3,3333333.333,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Super upper,9,4,4,17,High,Super Upper [nielsen],,,,
ar sweetener 2018,Wanita,30,Housewife,Menikah & sudah punya anak,6000000,3,2000000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar sweetener 2018,Pria,47,Employee/wage earner,Menikah & sudah punya anak,30000000,4,7500000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Super upper,9,4,4,17,High,Super Upper [nielsen],,,,
ar sweetener 2018,Pria,55,Employee/wage earner,Menikah & sudah punya anak,20000000,6,3333333.333,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Super upper,9,4,4,17,High,Super Upper [nielsen],,,,
ar sweetener 2018,Wanita,42,Housewife,Menikah & sudah punya anak,10000000,3,3333333.333,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Super upper,9,4,4,17,High,Super Upper [nielsen],,,,
ar sweetener 2018,Pria,39,Employer/self employed,Menikah & sudah punya anak,5000000,3,1666666.667,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Medium,Diploma,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar sweetener 2018,Pria,39,Employee/wage earner,Menikah & belum punya anak,10000000,3,3333333.333,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,SMA,Super upper,9,4,4,17,High,Super Upper [nielsen],,,,
ar sweetener 2018,Pria,36,Employer/self employed,Menikah & sudah punya anak,15000000,4,3750000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Super upper,9,4,4,17,High,Super Upper [nielsen],,,,
ar sweetener 2018,Wanita,59,Employer/self employed,Menikah & sudah punya anak,20000000,3,6666666.667,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Super upper,9,4,4,17,High,Super Upper [nielsen],,,,
ar sweetener 2018,Wanita,50,Housewife,Menikah & sudah punya anak,15000000,4,3750000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,Diploma,Super upper,9,4,4,17,High,Super Upper [nielsen],,,,
ar sweetener 2018,Pria,22,Student,Belum / tidak menikah,2000000,1,2000000,Tidak memasak <= Rp 2.499.999,Air kemasan bermerek,Medium,S1/S2/S3,Upper 2,8,2,4,14,Medium,Upper 2 [nielsen],,,,
ar sweetener 2018,Wanita,37,Not employed,Menikah & sudah punya anak,10000000,5,2000000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar sweetener 2018,Wanita,38,Employee/wage earner,Menikah & belum punya anak,10000000,2,5000000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Super upper,9,4,4,17,High,Super Upper [nielsen],,,,
ar sweetener 2018,Wanita,29,Employer/self employed,Menikah & sudah punya anak,18000000,3,6000000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Super upper,9,4,4,17,High,Super Upper [nielsen],,,,
ar sweetener 2018,Wanita,51,Housewife,Menikah & sudah punya anak,10000000,4,2500000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,Diploma,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar sweetener 2018,Wanita,26,Employee/wage earner,Belum / tidak menikah,7000000,4,1750000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar sweetener 2018,Wanita,22,Employee/wage earner,Belum / tidak menikah,5000000,5,1000000,Elpiji 3 kg,Air kemasan bermerek,Medium,S1/S2/S3,Upper 2,7,2,4,13,Medium,Upper 2 [nielsen],,,,
ar sweetener 2018,Wanita,47,Employee/wage earner,Menikah & sudah punya anak,10000000,4,2500000,Elpiji 3 kg,Air kemasan bermerek,Super high,S1/S2/S3,Upper 2,8,2,4,14,Medium,Upper 2 [nielsen],,,,
ar sweetener 2018,Wanita,36,Employee/wage earner,Menikah & sudah punya anak,11000000,5,2200000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar sweetener 2018,Wanita,56,Housewife,Menikah & sudah punya anak,15000000,2,7500000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,Diploma,Super upper,9,4,4,17,High,Super Upper [nielsen],,,,
ar sweetener 2018,Wanita,20,Student,Belum / tidak menikah,5000000,3,1666666.667,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar sweetener 2018,Wanita,20,Student,Belum / tidak menikah,10000000,4,2500000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar sweetener 2018,Wanita,20,Student,Belum / tidak menikah,30000000,4,7500000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Super upper,9,4,4,17,High,Super Upper [nielsen],,,,
ar sweetener 2018,Wanita,61,Housewife,Menikah & sudah punya anak,10000000,4,2500000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,SMA,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar sweetener 2018,Pria,24,Not employed,Belum / tidak menikah,5000000,5,1000000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Upper 1,7,4,4,15,High,Upper 1 [nielsen],,,,
ar sweetener 2018,Wanita,33,Not employed,Belum / tidak menikah,10000000,5,2000000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar sweetener 2018,Pria,31,Employer/self employed,Belum / tidak menikah,7000000,2,3500000,Elpiji 3 kg,Air kemasan bermerek,Super high,S1/S2/S3,Super upper,9,2,4,15,High,Super Upper [nielsen],,,,
ar sweetener 2018,Pria,26,Student,Belum / tidak menikah,20000000,4,5000000,Elpiji 3 kg,Air kemasan bermerek,Super high,S1/S2/S3,Super upper,9,2,4,15,High,Super Upper [nielsen],,,,
ar sweetener 2018,Pria,27,Employer/self employed,Menikah & sudah punya anak,6000000,3,2000000,Elpiji 3 kg,Air kemasan bermerek,Super high,S1/S2/S3,Upper 2,8,2,4,14,Medium,Upper 2 [nielsen],,,,
ar sweetener 2018,Pria,39,Employee/wage earner,Menikah & sudah punya anak,6000000,4,1500000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar sweetener 2018,Wanita,44,Housewife,Menikah & sudah punya anak,15000000,4,3750000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,Diploma,Super upper,9,4,4,17,High,Super Upper [nielsen],,,,
ar sweetener 2018,Pria,43,Employee/wage earner,Menikah & sudah punya anak,6000000,3,2000000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Medium,S1/S2/S3,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar sweetener 2018,Pria,50,Employee/wage earner,Menikah & sudah punya anak,5000000,2,2500000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,Diploma,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar sweetener 2018,Pria,50,Employee/wage earner,Menikah & sudah punya anak,10000000,4,2500000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Medium,Diploma,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar sweetener 2018,Wanita,64,Housewife,Menikah & sudah punya anak,8000000,4,2000000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar sweetener 2018,Pria,37,Employee/wage earner,Menikah & sudah punya anak,10000000,3,3333333.333,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,SMA,Super upper,9,4,4,17,High,Super Upper [nielsen],,,,
ar sweetener 2018,Pria,61,Not employed,Menikah & sudah punya anak,15000000,6,2500000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,SMA,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar sweetener 2018,Pria,54,Employee/wage earner,Menikah & sudah punya anak,5000000,4,1250000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Medium,SMA,Upper 2,7,4,4,15,High,Upper 1 [nielsen],,,,
ar sweetener 2018,Pria,51,Employee/wage earner,Menikah & sudah punya anak,20000000,4,5000000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Super upper,9,4,4,17,High,Super Upper [nielsen],,,,
ar sweetener 2018,Pria,52,Employee/wage earner,Menikah & sudah punya anak,15000000,5,3000000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Super upper,9,4,4,17,High,Super Upper [nielsen],,,,
ar sweetener 2018,Pria,61,Employee/wage earner,Menikah & sudah punya anak,6000000,3,2000000,"Elpiji 5,5 kg/12 kg/bluegaz",Air isi ulang,Super high,SMA,Upper 1,8,4,3,15,High,Upper 1 [nielsen],,,,
ar sweetener 2018,Pria,57,Employee/wage earner,Menikah & sudah punya anak,10000000,4,2500000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar sweetener 2018,Pria,58,Not employed,Menikah & sudah punya anak,10000000,3,3333333.333,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Super upper,9,4,4,17,High,Super Upper [nielsen],,,,
ar sweetener 2018,Wanita,59,Housewife,Menikah & sudah punya anak,6000000,4,1500000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,Diploma,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar sweetener 2018,Pria,37,Employee/wage earner,Menikah & sudah punya anak,10000000,4,2500000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar sweetener 2018,Wanita,28,Employee/wage earner,Menikah & sudah punya anak,5500000,2,2750000,"Elpiji 5,5 kg/12 kg/bluegaz",Sumur bor/pompa,Medium,S1/S2/S3,Upper 1,9,4,2,15,High,Upper 1 [nielsen],,,,
ar sweetener 2018,Pria,39,Employee/wage earner,Menikah & sudah punya anak,10000000,4,2500000,"Elpiji 5,5 kg/12 kg/bluegaz",Air isi ulang,Super high,SMA,Upper 1,8,4,3,15,High,Upper 1 [nielsen],,,,
ar sweetener 2018,Pria,52,Employee/wage earner,Menikah & sudah punya anak,10000000,5,2000000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar sweetener 2018,Pria,49,Employee/wage earner,Menikah & sudah punya anak,8000000,4,2000000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar sweetener 2018,Wanita,61,Not employed,Menikah & sudah punya anak,9000000,6,1500000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,Diploma,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar sweetener 2018,Wanita,50,Housewife,Menikah & sudah punya anak,3000000,3,1000000,Elpiji 3 kg,Air kemasan bermerek,Medium,SMA,Middle 1,7,2,4,13,Medium,Upper 2 [nielsen],,,,
ar sweetener 2018,Pria,48,Employer/self employed,Menikah & sudah punya anak,10000000,4,2500000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar sweetener 2018,Wanita,44,Employee/wage earner,Menikah & sudah punya anak,7500000,4,1875000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Medium,S1/S2/S3,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar sweetener 2018,Wanita,52,Employer/self employed,Menikah & sudah punya anak,10000000,2,5000000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,SMA,Super upper,9,4,4,17,High,Super Upper [nielsen],,,,
ar sweetener 2018,Wanita,59,Housewife,Menikah & sudah punya anak,4000000,5,800000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,SMP,Upper 1,7,4,4,15,High,Upper 1 [nielsen],,,,
ar sweetener 2018,Wanita,65,Housewife,Menikah & sudah punya anak,5000000,5,1000000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,SMA,Upper 1,7,4,4,15,High,Upper 1 [nielsen],,,,
ar sweetener 2018,Wanita,50,Housewife,Menikah & sudah punya anak,10000000,4,2500000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,SMA,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar sweetener 2018,Wanita,60,Housewife,Menikah & sudah punya anak,2500000,4,625000,"Elpiji 5,5 kg/12 kg/bluegaz",Ledeng meteran,Medium,Diploma,Upper 2,6,4,3,13,Medium,Upper 2 [nielsen],,,,
ar sweetener 2018,Pria,35,Employee/wage earner,Menikah & belum punya anak,8000000,3,2666666.667,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Upper 1,9,4,4,17,High,Upper 1 [nielsen],,,,
ar sweetener 2018,Pria,59,Housewife,Menikah & sudah punya anak,5000000,3,1666666.667,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Medium,SMP,Upper 2,8,4,4,16,High,Upper 1 [nielsen],,,,
ar sweetener 2018,Pria,38,Employee/wage earner,Menikah & sudah punya anak,8000000,4,2000000,Elpiji 3 kg,Air isi ulang,Medium,S1/S2/S3,Upper 2,8,2,3,13,Medium,Upper 2 [nielsen],,,,
ar sweetener 2018,Wanita,59,Not employed,Menikah & sudah punya anak,3000000,1,3000000,Elpiji 3 kg,Air kemasan bermerek,Low,SMA,Middle 1,9,2,4,15,High,Super Upper [nielsen],,,,
ar sweetener 2018,Wanita,61,Housewife,Menikah & sudah punya anak,3000000,2,1500000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,SMA,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar sweetener 2018,Wanita,41,Housewife,Menikah & sudah punya anak,15000000,4,3750000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Super upper,9,4,4,17,High,Super Upper [nielsen],,,,
ar sweetener 2018,Pria,50,Employee/wage earner,Menikah & sudah punya anak,10000000,4,2500000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,SMA,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar sweetener 2018,Pria,51,Employer/self employed,Menikah & sudah punya anak,7000000,3,2333333.333,Elpiji 3 kg,Air isi ulang,Super high,S1/S2/S3,Upper 2,8,2,3,13,Medium,Upper 2 [nielsen],,,,
ar sweetener 2018,Pria,62,Not employed,Menikah & sudah punya anak,5000000,2,2500000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar sweetener 2018,Wanita,39,Housewife,Menikah & sudah punya anak,5000000,4,1250000,"Elpiji 5,5 kg/12 kg/bluegaz",Ledeng meteran,Super high,Diploma,Upper 2,7,4,3,14,Medium,Upper 2 [nielsen],,,,
ar sweetener 2018,Pria,56,Employee/wage earner,Menikah & sudah punya anak,10000000,4,2500000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar sweetener 2018,Wanita,55,Employer/self employed,Menikah & sudah punya anak,10000000,3,3333333.333,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,SMA,Super upper,9,4,4,17,High,Super Upper [nielsen],,,,
ar sweetener 2018,Pria,58,Employee/wage earner,Menikah & sudah punya anak,10000000,4,2500000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,SMA,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar sweetener 2018,Pria,61,Not employed,Menikah & sudah punya anak,5000000,2,2500000,Elpiji 3 kg,Ledeng meteran,Medium,SMA,Middle 1,8,2,3,13,Medium,Upper 2 [nielsen],,,,
ar sweetener 2018,Wanita,43,Housewife,Menikah & sudah punya anak,4500000,3,1500000,Listrik,Air kemasan bermerek,Low,Diploma,Upper 2,8,5,4,17,High,Upper 1 [nielsen],,,,
ar sweetener 2018,Pria,59,Not employed,Menikah & sudah punya anak,15000000,2,7500000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Super upper,9,4,4,17,High,Super Upper [nielsen],,,,
ar sweetener 2018,Wanita,49,Employee/wage earner,Menikah & sudah punya anak,13000000,5,2600000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Upper 1,9,4,4,17,High,Upper 1 [nielsen],,,,
ar sweetener 2018,Wanita,63,Housewife,Menikah & sudah punya anak,7000000,3,2333333.333,Elpiji 3 kg,Air kemasan bermerek,Medium,SMA,Middle 1,8,2,4,14,Medium,Upper 2 [nielsen],,,,
ar sweetener 2018,Wanita,60,Housewife,Menikah & sudah punya anak,9000000,7,1285714.286,Elpiji 3 kg,Air isi ulang,Medium,SMP,Middle 1,8,2,3,13,Medium,Upper 2 [nielsen],,,,
ar sweetener 2018,Wanita,58,Housewife,Menikah & sudah punya anak,3000000,2,1500000,"Elpiji 5,5 kg/12 kg/bluegaz",Sumur bor/pompa,Super high,Diploma,Upper 2,8,4,2,14,Medium,Upper 2 [nielsen],,,,
ar sweetener 2018,Wanita,54,Housewife,Menikah & sudah punya anak,3000000,2,1500000,Elpiji 3 kg,Air isi ulang,High,Diploma,Upper 2,8,2,3,13,Medium,Upper 2 [nielsen],,,,
ar sweetener 2018,Pria,51,Employee/wage earner,Menikah & sudah punya anak,5000000,4,1250000,Elpiji 3 kg,Air isi ulang,Super high,SMA,Middle 1,7,2,3,12,Low,Middle 1 [nielsen],,,,
ar sweetener 2018,Wanita,46,Employer/self employed,Menikah & sudah punya anak,7000000,7,1000000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Upper 1,7,4,4,15,High,Upper 1 [nielsen],,,,
ar sweetener 2018,Wanita,44,Employee/wage earner,Menikah & sudah punya anak,4000000,3,1333333.333,Listrik,Air kemasan bermerek,Low,SMA,Middle 1,8,5,4,17,High,Upper 1 [nielsen],,,,
ar sweetener 2018,Wanita,63,Housewife,Menikah & sudah punya anak,2500000,2,1250000,Elpiji 3 kg,Air kemasan bermerek,Medium,SMP,Middle 1,7,2,4,13,Medium,Upper 2 [nielsen],,,,
ar sweetener 2018,Wanita,54,Housewife,Menikah & sudah punya anak,4000000,2,2000000,Elpiji 3 kg,Sumur bor/pompa,High,SMA,Middle 1,8,2,2,12,Low,Middle 1 [nielsen],,,,
ar sweetener 2018,Wanita,48,Housewife,Menikah & sudah punya anak,5000000,5,1000000,Elpiji 3 kg,Air kemasan bermerek,Super high,S1/S2/S3,Upper 2,7,2,4,13,Medium,Upper 2 [nielsen],,,,
ar sweetener 2018,Wanita,57,Housewife,Menikah & sudah punya anak,2500000,3,833333.3333,Elpiji 3 kg,Air kemasan bermerek,Medium,SMA,Middle 1,7,2,4,13,Medium,Upper 2 [nielsen],,,,
ar sweetener 2018,Pria,55,Not employed,Menikah & sudah punya anak,2500000,3,833333.3333,Elpiji 3 kg,Air kemasan bermerek,Medium,SMP,Middle 1,7,2,4,13,Medium,Upper 2 [nielsen],,,,
ar sweetener 2018,Wanita,47,Housewife,Menikah & sudah punya anak,4000000,4,1000000,Gas kota/Biogas,Air kemasan bermerek,Low,SMA,Middle 1,7,4,4,15,High,Upper 1 [nielsen],,,,
ar sweetener 2018,Pria,60,Not employed,Menikah & sudah punya anak,3000000,3,1000000,Gas kota/Biogas,Air kemasan bermerek,Medium,SMA,Upper 2,7,4,4,15,High,Upper 1 [nielsen],,,,
ar sweetener 2018,Wanita,57,Housewife,Menikah & sudah punya anak,5000000,3,1666666.667,Gas kota/Biogas,Air kemasan bermerek,Medium,SMA,Upper 2,8,4,4,16,High,Upper 1 [nielsen],,,,
ar sweetener 2018,Wanita,63,Housewife,Menikah & sudah punya anak,5000000,5,1000000,"Elpiji 5,5 kg/12 kg/bluegaz",Ledeng eceran,Super high,SMA,Middle 1,7,4,2,13,Medium,Upper 2 [nielsen],,,,
ar sweetener 2018,Wanita,40,Housewife,Menikah & belum punya anak,2000000,2,1000000,Gas kota/Biogas,Air kemasan bermerek,Low,SMA,Middle 1,7,4,4,15,High,Upper 1 [nielsen],,,,
ar sweetener 2018,Wanita,51,Housewife,Menikah & sudah punya anak,2500000,3,833333.3333,Gas kota/Biogas,Air kemasan bermerek,Low,SMA,Middle 1,7,4,4,15,High,Upper 1 [nielsen],,,,
ar sweetener 2018,Wanita,52,Employee/wage earner,Menikah & sudah punya anak,7000000,4,1750000,Minyak tanah,Air kemasan bermerek,Low,S1/S2/S3,Middle 1,8,2,4,14,Medium,Upper 2 [nielsen],,,,
ar sweetener 2018,Wanita,49,Housewife,Menikah & sudah punya anak,5000000,4,1250000,Elpiji 3 kg,Air kemasan bermerek,Low,Diploma,Middle 1,7,2,4,13,Medium,Upper 2 [nielsen],,,,
ar sweetener 2018,Wanita,57,Employer/self employed,Menikah & sudah punya anak,4000000,4,1000000,Elpiji 3 kg,Air kemasan bermerek,Medium,SMA,Middle 1,7,2,4,13,Medium,Upper 2 [nielsen],,,,
ar sweetener 2018,Wanita,63,Not employed,Menikah & sudah punya anak,16000000,6,2666666.667,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Upper 1,9,4,4,17,High,Upper 1 [nielsen],,,,
ar sweetener 2018,Wanita,60,Housewife,Menikah & sudah punya anak,6000000,5,1200000,Elpiji 3 kg,Air kemasan bermerek,Super high,SMA,Middle 1,7,2,4,13,Medium,Upper 2 [nielsen],,,,
ar sweetener 2018,Wanita,58,Housewife,Menikah & sudah punya anak,6000000,6,1000000,Elpiji 3 kg,Air kemasan bermerek,Medium,SMP,Middle 1,7,2,4,13,Medium,Upper 2 [nielsen],,,,
ar sweetener 2018,Wanita,53,Housewife,Menikah & sudah punya anak,5500000,3,1833333.333,Elpiji 3 kg,Air kemasan bermerek,Low,Diploma,Middle 1,8,2,4,14,Medium,Upper 2 [nielsen],,,,
ar sweetener 2018,Wanita,55,Employee/wage earner,Menikah & sudah punya anak,5000000,3,1666666.667,Elpiji 3 kg,Sumur bor/pompa,Super high,S1/S2/S3,Upper 2,8,2,2,12,Low,Middle 1 [nielsen],,,,
ar sweetener 2018,Wanita,54,Employee/wage earner,Menikah & sudah punya anak,3000000,2,1500000,Elpiji 3 kg,Air kemasan bermerek,Super high,SMP,Middle 1,8,2,4,14,Medium,Upper 2 [nielsen],,,,
ar sweetener 2018,Pria,47,Employer/self employed,Menikah & sudah punya anak,4000000,4,1000000,Elpiji 3 kg,Air kemasan bermerek,Medium,SMA,Middle 1,7,2,4,13,Medium,Upper 2 [nielsen],,,,
ar sweetener 2018,Pria,49,Employee/wage earner,Menikah & sudah punya anak,5000000,3,1666666.667,Elpiji 3 kg,Air kemasan bermerek,Medium,SMA,Middle 1,8,2,4,14,Medium,Upper 2 [nielsen],,,,
ar sweetener 2018,Wanita,53,Employee/wage earner,Menikah & sudah punya anak,7000000,3,2333333.333,Elpiji 3 kg,Sumur bor/pompa,Medium,S1/S2/S3,Middle 1,8,2,2,12,Low,Middle 1 [nielsen],,,,
ar sweetener 2018,Pria,55,Employer/self employed,Menikah & sudah punya anak,4500000,3,1500000,Elpiji 3 kg,Air kemasan bermerek,Medium,SMP,Middle 1,8,2,4,14,Medium,Upper 2 [nielsen],,,,
ar sweetener 2018,Wanita,41,Housewife,Menikah & sudah punya anak,6000000,4,1500000,Elpiji 3 kg,Air kemasan bermerek,Super high,S1/S2/S3,Upper 2,8,2,4,14,Medium,Upper 2 [nielsen],,,,
ar sweetener 2018,Pria,56,Employee/wage earner,Menikah & sudah punya anak,4000000,2,2000000,Elpiji 3 kg,Air kemasan bermerek,Medium,SMA,Middle 1,8,2,4,14,Medium,Upper 2 [nielsen],,,,
