riset,gender,usia.pasti,kat.pekerjaan,status,peng.kel,jum.kel,peng.prib,bahan.masak,air.minum,kepemilikan,edukasi,ses.final,skor.peng.prib,skor.bahan.masak,skor.air.minum,total.skor,skor.ses.nielsen,skor.ses,,,total.skor,
ar school 2018,Wanita,39,Housewife,Menikah & sudah punya anak,30000000,4,7500000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Super upper,9,4,4,17,High,Super Upper [nielsen],,,,
ar school 2018,Wanita,34,Employee/wage earner,Menikah & sudah punya anak,25000000,4,6250000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Super upper,9,4,4,17,High,Super Upper [nielsen],,,,
ar school 2018,Wanita,31,Employee/wage earner,Menikah & sudah punya anak,25000000,4,6250000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,SMA,Super upper,9,4,4,17,High,Super Upper [nielsen],,,,
ar school 2018,Wanita,40,Housewife,Menikah & sudah punya anak,3500000,4,875000,Elpiji 3 kg,Air kemasan bermerek,Medium,Diploma,Upper 2,7,2,4,13,Medium,Upper 2 [nielsen],,,,
ar school 2018,Wanita,30,Housewife,Menikah & sudah punya anak,10000000,4,2500000,Elpiji 3 kg,Air kemasan bermerek,Super high,S1/S2/S3,Upper 1,8,2,4,14,Medium,Upper 2 [nielsen],,,,
ar school 2018,Wanita,34,Housewife,Menikah & sudah punya anak,10000000,3,3333333.333,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Super upper,9,4,4,17,High,Super Upper [nielsen],,,,
ar school 2018,Wanita,47,Employee/wage earner,Menikah & sudah punya anak,10000000,3,3333333.333,"Elpiji 5,5 kg/12 kg/bluegaz",Sumur bor/pompa,Super high,S1/S2/S3,Super upper,9,4,2,15,High,Super Upper [nielsen],,,,
ar school 2018,Wanita,41,Employee/wage earner,Menikah & sudah punya anak,20000000,3,6666666.667,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Super upper,9,4,4,17,High,Super Upper [nielsen],,,,
ar school 2018,Wanita,46,Housewife,Menikah & sudah punya anak,4000000,3,1333333.333,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar school 2018,Wanita,37,Housewife,Menikah & sudah punya anak,12000000,4,3000000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Super upper,9,4,4,17,High,Super Upper [nielsen],,,,
ar school 2018,Wanita,35,Housewife,Menikah & sudah punya anak,10000000,3,3333333.333,Listrik,Air kemasan bermerek,Super high,Diploma,Super upper,9,5,4,18,High,Super Upper [nielsen],,,,
