"","authorDisplayName","authorProfileImageUrl","authorChannelUrl","textOriginal","likeCount","publishedAt","updatedAt","episode"
"15","nur widyastuti","https://yt3.ggpht.com/a/AGF-l7-XsWys9HnJ96XmRJYxegmhCNvsh3iCdfVSXQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCCV9rz-fBtr3xTFZ_NnNinA","lanjut mba iik",0,2019-11-08 14:22:36,2019-11-08 14:22:36,1
"16","Rully Ahmad","https://yt3.ggpht.com/a/AGF-l7_qyvRFcRv4aqqxM1xG3iFRhcoLagblPAv7kw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCdzcM3lRYFESgrPOQ1xisIQ","kalau boleh tau ini sutradaranya siapa ya ?",0,2019-11-08 12:28:33,2019-11-08 12:28:33,1
"17","deyo anggara","https://yt3.ggpht.com/a/AGF-l7-zn-5s9k58u3lJpKJ6bo66Aod1ya-YVi2IVA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCycOgCfqq0mEYstoasSWdjg","knp ga post di ig story aja hahaa",1,2019-11-08 12:26:44,2019-11-08 12:26:44,1
"18","ummi kholsum","https://yt3.ggpht.com/a/AGF-l79eh4RO0k-vR2S2Xcbr4me2JXdGX5DT16nl5A=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCDdrZbzgcKijNc0VyCkdUfQ","kenapa durasinya nda sepanjang sore seperti treaser aja padahal ini tulisan episode 1  admin tolong tambahin durasinya ",1,2019-11-08 12:04:02,2019-11-08 12:04:02,1
"19","Suko Adiningkaryo","https://yt3.ggpht.com/a/AGF-l7-Bdm5D0BeeDzpSWl6rOEl4I3MifxTq6m8drA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCIGxteIFqg8XDXuk6mUMBCw","baru juga ngucek mata udah slesai aja ",0,2019-11-08 10:51:20,2019-11-08 10:51:20,1
"20","Nadia Oktavia","https://yt3.ggpht.com/a/AGF-l7_t2VPlSM0yg0-O1d3yk--g0WYdVHFvL9h2EQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCudCxmLP5v-QSFruKQ_8y-g","kereen singkat tapi dapet feelnya ditunggu episode selanjutnyaa",0,2019-11-08 00:54:50,2019-11-08 00:54:50,1
"21","Rachael Abigail Saveria","https://yt3.ggpht.com/a/AGF-l7--L4vTjFTbrTfef1URDp_Cd5q5dRFlh3ZHjQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCqvowGswJEOXfFv3Bkt4XeA","keren banget  u2665 ufe0f senang ceritanya sangat inklusif salut untuk aktor tuli u2665 ufe0f pasti ga mudah proses syutingnya tapi hasilnya top ",4,2019-11-07 18:10:41,2019-11-07 18:10:41,1
"22","Al Hasan","https://yt3.ggpht.com/a/AGF-l7_yu3HjlIyoaSuwPw5ttPmWjz5n2V7rHu40iA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCsg7tTb6xz0jNeH9K1o_A_Q","keren parahh",0,2019-11-07 16:42:24,2019-11-07 16:42:24,1
"23","Choi Minhold","https://yt3.ggpht.com/a/AGF-l7-60Nxi0bGUsS379pLbH8yCkszZ4LbR59O_uw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCmWFH7doo_MpiMMjDohbWGw","iyaaaa aku tunggu ",0,2019-11-07 15:55:30,2019-11-07 15:55:30,1
"24","Nova Patty","https://yt3.ggpht.com/a/AGF-l7-zjP3qjYiasrdOPUioQ_HB0HW5-xpx5msKFQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCTsjoQ5RvVjsMggER_dk1FA","mesti ndak pernah lama durasinya  ",0,2019-11-07 15:19:49,2019-11-07 15:19:49,1
"25","Dessy Astuti","https://yt3.ggpht.com/a/AGF-l79jH4Yt-zI2nWH2PCJZSLojaN2vb5tNaDRWRw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCHxJRnljXl5snmnLaq4eZHw","waw apa ini ",0,2019-11-07 15:19:07,2019-11-07 15:19:07,1
"26","Susi Lawati","https://yt3.ggpht.com/a/AGF-l79Vr96gtBeZ68gvkWGVmSGDzNf_R5sQ8gwQ4w=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCiq_FM2FU-l0dWUbiwBwNvA","ada rizky kayaknya bikin baper nih ",0,2019-11-07 15:00:48,2019-11-07 15:00:48,1
"27","Melati Dwita Putri","https://yt3.ggpht.com/a/AGF-l7-1ejDat9wC902EBRNWX5qPTgMTz8gW5h8Jww=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCu4e_D9CkRHiD7SaUVBLh1g","ah kesel durasi nya ",0,2019-11-07 13:24:52,2019-11-07 13:24:52,1
"28","zevrymor","https://yt3.ggpht.com/a/AGF-l78LhP2n5CVWDdSfhPYHKBL0PxOqZodjoxpwyg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCUIfT7D6Fv6QkYQKjKcMoGA","ealaaaahhhh bentar banget kuota gw masih bnyak min cepetan min episode ke 2 nya",0,2019-11-07 12:59:11,2019-11-07 12:59:11,1
"29","Tio Hermawan","https://yt3.ggpht.com/a/AGF-l79RMk4hquGQH0ERTMu_kmUPJr_veSAW8EKOCA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCOyKKcufyf7uD1Stma87miw","wiiih kereen seneng liat risky melia ceritanya bagus sepertinya",0,2019-11-07 12:50:32,2019-11-07 12:50:32,1
"30","Leetha Šœhartö Põ<U+0259>triê","https://yt3.ggpht.com/a/AGF-l7_fFZOCYKvGmGTDpu87YokfoKWDIQOHjGa21g=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCdeklU-Tv4WzxDjgUfVsqjA","satu setengah menit dan langsung bikin baper duuuuuunk ",1,2019-11-07 12:46:29,2019-11-07 12:46:29,1
