"","id","banyak_calon_resp"
"356",356,3939
"357",357,4289
"358",358,3253
"359",359,4015
"360",360,4304
"361",361,3414
"362",362,5221
"363",363,4642
"364",364,3226
"365",365,4967
"366",366,3825
"367",367,5530
"368",368,4096
"369",369,4157
"370",370,5306
"371",371,3392
"372",372,4518
"373",373,5207
"374",374,4945
"375",375,5168
"376",376,4573
"377",377,5161
"378",378,4047
"379",379,4228
"380",380,4373
"381",381,4966
"382",382,4407
"383",383,3742
"384",384,3801
"385",385,4357
"386",386,5491
"387",387,4209
"388",388,4180
"389",389,4547
"390",390,4386
"391",391,4685
"392",392,3992
"393",393,4019
"394",394,4702
"395",395,4970
"396",396,4529
"397",397,4502
"398",398,4334
"399",399,4400
"400",400,4063
"401",401,3649
"402",402,4383
"403",403,4208
"404",404,4163
"405",405,5147
"406",406,3719
"407",407,4782
"408",408,4795
"409",409,4831
"410",410,4426
"411",411,3883
"412",412,5531
"413",413,4917
"414",414,5189
"415",415,3815
"416",416,4405
"417",417,4632
"418",418,5544
"419",419,4415
"420",420,4415
"421",421,4277
"422",422,4529
"423",423,5124
"424",424,4808
"425",425,4217
"426",426,4627
"427",427,4216
"428",428,3834
"429",429,4958
"430",430,4338
"431",431,4727
"432",432,4855
"433",433,4369
"434",434,4768
"435",435,4104
"436",436,5283
"437",437,4927
"438",438,3432
"439",439,4515
"440",440,3432
"441",441,4257
"442",442,5521
"443",443,4621
"444",444,4364
"445",445,4475
"446",446,4691
"447",447,6240
"448",448,4133
"449",449,4096
"450",450,4204
"451",451,4313
"452",452,4470
"453",453,4242
"454",454,4745
"455",455,4248
"456",456,4051
"457",457,4628
"458",458,3966
"459",459,4964
"460",460,4425
"461",461,5262
"462",462,4844
"463",463,5214
"464",464,4702
"465",465,4794
"466",466,4376
"467",467,4561
"468",468,4677
"469",469,4446
"470",470,4445
"471",471,5167
"472",472,4170
"473",473,5152
"474",474,4807
"475",475,5086
"476",476,4287
"477",477,5303
"478",478,4382
"479",479,4959
"480",480,4355
"481",481,4564
"482",482,3301
"483",483,4079
"484",484,4737
"485",485,4821
"486",486,5263
"487",487,4070
"488",488,4110
"489",489,4930
"490",490,4451
"491",491,4249
"492",492,4088
"493",493,4181
"494",494,4821
"495",495,4263
"496",496,5444
"497",497,3872
"498",498,4850
"499",499,5235
"500",500,5470
