"","No","Nama Perusahaan","Merek Dagang","Kantor Pusat","Opsi","link"
"24",24,"PT. Alhijrah Mulia Wisata","AL-HIJRAH TOUR & TRAVEL","Gd. Utaka 66, Lantai 1, Ruang 101,  Jl. Utan Kayu Raya No. 66 B, Matraman, Jakarta Timur, DKI Jakarta, 13220",NA,"https://himpuh.or.id/daftar-anggota/detail/96/pt-alhijrah-mulia-wisata"
"25",25,"PT. Aliston Buana Wisata","Aliston Umroh","Perum Deltasari Indah Blok Ag No. 19 Kureksi, Sidoarjo, Waru, Sidoarjo, Jawa Timur, 61256",NA,"https://himpuh.or.id/daftar-anggota/detail/286/pt-aliston-buana-wisata"
"26",26,"PT. Alkhalid Jaya Megah","JAYA MEGAH TOUR","Jl. Panglima Polim Raya No. 21c, Kebayoran Baru, Jakarta Selatan, DKI Jakarta, 12160",NA,"https://himpuh.or.id/daftar-anggota/detail/198/pt-alkhalid-jaya-megah"
"27",27,"PT. Alqursi Wisata","ALQURSI WISATA","Jl. Jingga Menak No. 15 Kota Baru Parayangan, Padalarang, Bandung Barat, Jawa Barat, 40553",NA,"https://himpuh.or.id/daftar-anggota/detail/239/pt-alqursi-wisata"
"28",28,"PT. Alwan Zahira","ALWAN ZAHIRA","Jl. Am. Sangaji No. 2 Rt. 18, Samarinda Ilir, Samarinda, Kalimantan Timur, 75117",NA,"https://himpuh.or.id/daftar-anggota/detail/98/pt-alwan-zahira"
"29",29,"PT. Amanah Bersama Tour & Travel","AB TOUR","Jl. Raya Pabuaran No. 19-a Rt.03 Rw.03, Jati Sampurna, Bekasi, Jawa Barat, 17432",NA,"https://himpuh.or.id/daftar-anggota/detail/343/pt-amanah-bersama-tour-travel"
"30",30,"PT. Amara Tour & Travel","Amara Tours","Jl. Raya Kincan JatiBening II No. 38, Pondok Gede, Bekasi, Jawa Barat, 17412",NA,"https://himpuh.or.id/daftar-anggota/detail/287/pt-amara-tour-travel"
"31",31,"PT. Ambassador Tour & Travel","AMBASSADOR TOUR","Jl. Re. Martadinata No. 62, 78 A-b-c, Cikole, Sukabumi, Jawa Barat, 43111",NA,"https://himpuh.or.id/daftar-anggota/detail/134/pt-ambassador-tour-travel"
"32",32,"PT. An Cipta Wisata","AN CIPTA WISATA","Ruko Grand Centro Bintaro, No. A12, Jl. Kodam Bintaro, Pesanggrahan, Jakarta Selatan, Pesanggrahan, Jakarta Selatan, DKI Jakarta, 12320",NA,"https://himpuh.or.id/daftar-anggota/detail/321/pt-an-cipta-wisata"
"33",33,"PT. An-naba International (An Naba)","AN NABA","Mt. Haryono Square Of 1/9, Jatinegara, Jakarta Timur, DKI Jakarta, 13330",NA,"https://himpuh.or.id/daftar-anggota/detail/10/pt-an-naba-international-an-naba"
"34",34,"PT. Anamona Tour & Travel","PT. ANAMONA TOUR & TRAVEL","Jl. Inspeksi Saluran Kalimalang No. 4d Rt.004/004, Pondok Bambu, Duren Sawit, Jakarta Timur, Duren Sawit, Jakarta Timur, DKI Jakarta, 13430",NA,"https://himpuh.or.id/daftar-anggota/detail/202/pt-anamona-tour-travel"
"35",35,"PT. Ananda Dar Al Haromain","PT. ANANDA DAR AL HAROMAIN","Jl. Andi Djemma No. 63, Rappocini, Makassar, Sulawesi Selatan, 90222",NA,"https://himpuh.or.id/daftar-anggota/detail/240/pt-ananda-dar-al-haromain"
"36",36,"PT. Ananda Nurul Haromain (Anh)","ANANDA NURUL HAROMAIN ( ANH )","Jl. Landak Baru No.63, Rappocini, Makassar, Sulawesi Selatan, 90222",NA,"https://himpuh.or.id/daftar-anggota/detail/12/pt-ananda-nurul-haromain-anh"
"37",37,"PT. Andiarta Wisata","ANDIARTA WISATA","Graha Adpd. Jl. Buncit Raya No. 101, Pasar Minggu, Jakarta Selatan, DKI Jakarta, 12510",NA,"https://himpuh.or.id/daftar-anggota/detail/13/pt-andiarta-wisata"
"38",38,"PT. Anmar Binawisata","ANMAR BINAWISATA","Jl. Ap Pettarani No. 42 D, Panakkukang, Makassar, Sulawesi Selatan, 90232",NA,"https://himpuh.or.id/daftar-anggota/detail/14/pt-anmar-binawisata"
"39",39,"PT. Annatama Purna","PT. ANNATAMA PURNA","Gedung Mt. Haryono Square Lt 1/21, Jl. Otista Raya No. 390, Jatinegara, Jakarta Timur, DKI Jakarta, 13330",NA,"https://himpuh.or.id/daftar-anggota/detail/15/pt-annatama-purna"
"40",40,"PT. Anneeva Mulya Wisata (amw)","AMW","Pondok Modern Tazakka, Jl. Tazakka No. 2, Bandar, Batang, Jawa Tengah, 51254",NA,"https://himpuh.or.id/daftar-anggota/detail/272/pt-anneeva-mulya-wisata-amw"
"41",41,"PT. Annur Maarif","An Nur Maarif","Jl. Ganggawa No. 78, Maritengngae, Sidenreng Rappang/Rapang, Sulawesi Selatan, 90243",NA,"https://himpuh.or.id/daftar-anggota/detail/11/pt-annur-maarif"
