tanggal,kecamatan,odp,proses_pemantauan,selesai_pemantauan,pdp,masih_dirawat,pulang_dan_sehat,positif,dirawat,sembuh,meninggal,isolasi_mandiri
2020-06-02,PASAR REBO,254,4,250,51,2,49,57,11,21,4,21
2020-06-02,PENJARINGAN,734,3,731,99,6,93,183,31,41,11,100
2020-06-02,PESANGGRAHAN,314,4,310,116,12,104,82,16,38,16,12
2020-06-02,PULO GADUNG,462,2,460,133,4,129,141,35,68,12,26
2020-06-02,SAWAH BESAR,294,12,282,194,16,178,92,41,25,8,18
2020-06-02,SENEN,599,5,594,84,4,80,127,35,25,4,63
2020-06-02,SETIA BUDI,284,5,279,69,2,67,69,14,33,9,13
2020-06-02,TAMAN SARI,211,4,207,63,13,50,105,24,33,6,42
2020-06-02,TAMBORA,315,5,310,104,24,80,145,24,12,10,99
2020-06-02,TANAH ABANG,979,5,974,194,8,186,340,54,87,17,182
2020-06-02,TANJUNG PRIOK,1056,17,1039,327,13,314,292,62,68,26,136
2020-06-02,TEBET,401,5,396,121,5,116,134,24,62,12,36
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
